ID;env.area_algortimo;env.patrols;env.size_square_obs;env.initial_position;env.out_of_zone;env.reward_exploration
1;9;2;3;best;-25;5
2;9;2;6;best;-25;5
3;9;5;1;best;-25;5
4;9;5;3;best;-25;5
5;9;5;6;best;-25;5
